user_id,monthly_income,monthly_expense_total,savings_rate,budget_goal,financial_scenario,credit_score,debt_to_income_ratio,loan_payment,investment_amount,subscription_services,emergency_fund,transaction_count,fraud_flag,discretionary_spending,essential_spending,income_type,rent_or_mortgage,category,cash_flow_status,financial_advice_score,financial_stress_level,actual_savings,savings_goal_met,year,month,expense_income_diff,savings_delay_ratio,debt_duress
1584,3119.58,3212.07,0.38,3676.11,0,721.0,0.56,125.77,689.22,3,510.58,68,0,857.55,1910.85,0,1501.65,6,2,8.3,Medium,0.0,0,2019,1,1.029648221876022,3676.11,0.04031632463344424
1045,3262.44,3732.81,0.1,2607.17,0,670.0,0.42,454.19,360.34,4,1154.41,41,0,534.51,3165.2,2,1603.17,6,2,22.6,High,0.0,0,2019,1,1.1441773641814101,2607.17,0.139217885999436
1756,2931.2,3335.58,0.15,3004.14,0,691.0,0.24,971.82,0.0,5,1433.02,90,0,353.67,1504.56,0,1097.82,4,2,58.8,Medium,0.0,0,2019,3,1.137957150655022,3004.14,0.3315433951965066
1724,3506.79,2327.59,0.17,3346.97,1,717.0,0.16,482.76,182.06,5,227.37,94,0,594.08,1450.72,0,1155.64,3,2,74.5,Low,1179.2,0,2019,4,0.6637380624445719,2167.7699999999995,0.1376643597135842
1600,4606.87,2182.58,0.34,2670.09,0,795.0,0.25,263.74,342.78,9,589.81,73,0,556.86,1000.0,2,1170.86,9,0,38.7,Low,2424.29,0,2019,5,0.47376635329410205,245.80000000000018,0.05724928205050284
1985,4028.39,3876.57,0.26,2079.72,2,643.0,0.43,323.2,451.11,8,1131.03,56,0,431.04,2330.01,2,548.67,4,2,53.7,High,151.82,0,2019,5,0.962312487122647,1927.8999999999999,0.08023056357502625
1194,4145.45,3035.61,0.15,2215.8,1,683.0,0.3,609.88,730.42,8,995.12,69,0,443.5,2860.3,0,637.04,8,2,74.7,Medium,1109.84,0,2019,6,0.7322751450385363,1105.9600000000003,0.14712033675475522
1600,3202.37,2689.51,0.25,3650.48,1,655.0,0.24,524.64,224.15,4,732.71,65,0,602.88,3526.55,2,1453.18,2,1,83.1,Low,512.86,0,2019,7,0.8398498611965514,3137.62,0.16382866439543214
1835,4765.11,2628.56,0.06,2813.81,1,715.0,0.52,103.3,0.0,7,1623.05,99,0,733.67,2503.65,2,1675.75,1,0,71.6,High,2136.55,0,2019,8,0.551626300337243,677.2599999999998,0.021678408263397907
1454,3581.79,3370.8,0.13,2195.92,1,749.0,0.52,643.48,261.39,9,1057.1,91,0,464.34,1691.26,2,682.16,2,2,77.9,High,210.99,0,2019,9,0.9410936989605756,1984.93,0.1796531901646942
1045,3832.71,3230.77,0.23,3178.17,1,611.0,0.19,316.34,452.59,9,1095.63,73,0,585.69,3029.36,1,1254.48,6,2,62.5,Medium,601.94,0,2019,10,0.842946635670322,2576.23,0.08253689947843693
1357,2136.79,3444.29,0.34,2685.16,1,669.0,0.39,285.31,528.05,5,1967.83,53,0,283.44,2492.21,0,773.98,2,0,36.1,High,0.0,0,2019,11,1.6118991571469354,2685.16,0.1335227139775083
1403,5462.92,3049.29,0.29,2973.21,2,670.0,0.23,679.87,275.58,2,1431.37,41,0,582.65,1483.81,2,1502.86,3,2,39.0,Medium,2413.63,0,2019,12,0.5581795083947779,559.5799999999999,0.12445175840026945
1884,2110.66,2707.86,0.24,1420.73,2,647.0,0.32,331.5,563.48,6,1153.64,86,0,309.46,3236.23,2,790.3,5,2,17.2,High,0.0,0,2020,1,1.2829446713350328,1420.73,0.15705987700529694
